Price,Open,High,Low,Close,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2015-11-04,2.3581335073642955,2.377372275119315,2.204222841107035,2.2207131385803223,55661500
2015-11-05,2.220712981728534,2.245448688299903,2.1629964204315173,2.2289581298828125,92690300
2015-11-06,2.2097192184126735,2.2207128359327957,2.124518617104598,2.149254322052002,39680600
2015-11-09,2.152002775009151,2.179486820266725,2.0860410663909734,2.17399001121521,36340400
2015-11-10,2.0887892441637708,2.1135249485134633,2.0640536708683332,2.0915377140045166,34554300
2015-11-11,2.1190222808802965,2.1520031407952978,2.099783380402735,2.1217706203460693,44596400
2015-11-12,2.121770145574442,2.1272669543302984,2.0695505279209354,2.0832924842834473,41641400
2015-11-13,2.0613060418941127,2.0777964745027484,1.987099029628097,1.9980926513671875,67000600
2015-11-16,2.0090860162265294,2.116273880004883,2.0090860162265294,2.116273880004883,56587800
2015-11-17,2.143757959254127,2.160248388964785,2.0997833489714197,2.1327643394470215,52072800
2015-11-18,2.146505852144842,2.2069707485055137,2.141009043384781,2.149254322052002,38137700
2015-11-19,2.187731913906328,2.193228722491851,2.094286036898178,2.1547510623931885,51878600
2015-11-23,2.1712418529976314,2.2262100791437867,2.1574997636975235,2.2207131385803223,47415800
2015-11-24,2.2124676190801704,2.3361458778381348,2.18498344508573,2.3361458778381348,63001700
2015-11-25,2.2756811364673895,2.294920165509174,2.1712417602539062,2.1712417602539062,54732800
2015-11-26,2.1849836487184398,2.2097193551970142,2.1492544550934913,2.1767385005950928,21697100
2015-11-27,2.1465060252043116,2.160248113739533,2.0805443147654956,2.088789463043213,38334200
2015-11-30,2.072298851273668,2.1547511130491377,2.039317998985183,2.1080281734466553,72764300
2015-12-01,2.108028449504352,2.132764157487119,2.0475634146696495,2.0585570335388184,35865600
2015-12-02,2.072299311614276,2.0860414019809412,2.020079551696947,2.066802501678467,47713500
2015-12-03,2.195977537817876,2.2454489568778873,2.1410094400337334,2.1932291984558105,76680900
2015-12-04,2.1904807907613115,2.1904807907613115,2.039318451999422,2.066802501678467,63662600
2015-12-07,2.088788756350948,2.0915372255498204,1.9651105255946373,1.9761041402816772,47395000
2015-12-08,1.9788530425456639,1.9788530425456639,1.9101428656370747,1.9596142768859863,46590500
2015-12-09,2.0173308297290613,2.149254374227364,1.9980919330746743,2.1025314331054688,82102800
2015-12-10,2.0640541133273946,2.0805445427440605,2.0090858842175585,2.0475635528564453,43458400
2015-12-11,1.9953443820852108,2.0695513969777997,1.9816022888977889,1.992595911026001,50750600
2015-12-14,1.9651114048879423,1.9870986441002594,1.9431241656756253,1.9816018342971802,33538000
2015-12-15,2.01733132062954,2.0530605216045683,2.006337700167332,2.039318561553955,34188900
2015-12-16,2.0008408138059615,2.022828053893782,1.9486210530702446,2.003589153289795,39840300
2015-12-17,2.0200794835727165,2.066802431978573,1.97610500556922,1.9788533449172974,43789300
2015-12-18,1.929382085800171,1.9513693251282644,1.9018980366400542,1.929382085800171,60061600
2015-12-21,1.9403753474040226,1.9486206261576868,1.8194454223605943,1.8249422311782837,54032100
2015-12-22,1.8579229946441642,1.8744134191401827,1.8194452064325435,1.8661681413650513,40463400
2015-12-23,1.8991493490149618,1.9348786743643398,1.8881557306081176,1.9046461582183838,38789700
2015-12-28,1.8964014019074507,1.8964014019074507,1.827691207135835,1.8414331674575806,28617600
